"","Var1","Freq","Support"
"1","Coffee",1762,0.189441995484357
"2","Bread",1557,0.167401354693044
"3","Tea",558,0.059993549080744
"4","Cake",300,0.0322545962799699
"5","Sandwich",285,0.0306418664659714
"6","Pastry",272,0.0292441672938394
"7","Farm House",255,0.0274164068379744
"8","Medialuna",218,0.0234383399634448
"9","Hot chocolate",215,0.0231157940006451
"10","Cookies",171,0.0183851198795828
"11","Scandinavian",164,0.0176325126330502
"12","Soup",141,0.0151596602515859
"13","Muffin",124,0.0133318997957209
"14","Brownie",122,0.0131168691538544
"15","Alfajores",104,0.0111815933770562
"16","Juice",99,0.0106440167723901
"17","Scone",98,0.0105365014514568
"18","Baguette",94,0.0101064401677239
"19","Toast",92,0.00989140952585743
"20","Coke",87,0.00935383292119127
"21","Fudge",78,0.00838619503279217
"22","Jam",71,0.00763358778625954
"23","Coffee, Bread",69,0.00741855714439308
"24","Truffles",61,0.00655843457692721
"25","Coffee, Coffee",58,0.00623588861412751
"26","Spanish Brunch",56,0.00602085797226105
"27","Tiffin",52,0.00559079668852812
"28","Chicken Stew",45,0.00483818944199548
"29","Bread, Coffee",44,0.00473067412106225
"30","Mineral water",41,0.00440812815826255
"31","Hearty & Seasonal",40,0.00430061283732932
"32","Jammie Dodgers",37,0.00397806687452962
"33","Coffee, Cake",35,0.00376303623266315
"34","Afternoon with the baker",33,0.00354800559079669
"35","Frittata",31,0.00333297494893022
"36","Coffee, Pastry",29,0.00311794430706376
"37","Focaccia",29,0.00311794430706376
"38","Salad",27,0.00290291366519729
"39","Coffee, Medialuna",26,0.00279539834426406
"40","Coffee, Tea",21,0.00225782173959789
"41","Tartine",20,0.00215030641866466
"42","Keeping It Local",19,0.00204279109773143
"43","The Nomad",19,0.00204279109773143
"44","Smoothies",18,0.00193527577679819
"45","Vegan mincepie",18,0.00193527577679819
"46","Bread, Pastry",17,0.00182776045586496
"47","Coffee, Toast",17,0.00182776045586496
"48","Tshirt",16,0.00172024513493173
"49","Coffee, Muffin",15,0.00161272981399849
"50","Bread, Bread",14,0.00150521449306526
"51","Coffee, Cookies",14,0.00150521449306526
"52","Coffee, Sandwich",14,0.00150521449306526
"53","Eggs",13,0.00139769917213203
"54","Bakewell",12,0.0012901838511988
"55","Pastry, Coffee",11,0.00118266853026556
"56","Tea, Bread",11,0.00118266853026556
"57","Tea, Coffee",11,0.00118266853026556
"58","Coffee, Alfajores",10,0.00107515320933233
"59","Coffee, Coffee, Cake",10,0.00107515320933233
"60","Granola",10,0.00107515320933233
"61","Valentine's card",10,0.00107515320933233
"62","Coffee, Coffee, Pastry",9,0.000967637888399097
"63","Medialuna, Coffee",9,0.000967637888399097
"64","Art Tray",8,0.000860122567465864
"65","Bread, Cake",8,0.000860122567465864
"66","Bread, Cookies",8,0.000860122567465864
"67","Coffee, Coffee, Bread",8,0.000860122567465864
"68","Sandwich, Coffee",8,0.000860122567465864
"69","Bread, Medialuna",7,0.000752607246532631
"70","Cake, Coffee",7,0.000752607246532631
"71","Christmas common",7,0.000752607246532631
"72","Coffee, Hot chocolate",7,0.000752607246532631
"73","Coffee, Pastry, Bread",7,0.000752607246532631
"74","Dulce de Leche",7,0.000752607246532631
"75","Mighty Protein",7,0.000752607246532631
"76","Muesli",7,0.000752607246532631
"77","Bread, Coffee, Pastry",6,0.000645091925599398
"78","Bread, Sandwich",6,0.000645091925599398
"79","Coffee, Scone",6,0.000645091925599398
"80","Coffee, Tea, Cake",6,0.000645091925599398
"81","Ella's Kitchen Pouches",6,0.000645091925599398
"82","Hot chocolate, Coffee",6,0.000645091925599398
"83","Pintxos",6,0.000645091925599398
"84","Vegan Feast",6,0.000645091925599398
"85","Bread, Brownie",5,0.000537576604666165
"86","Bread, Muffin",5,0.000537576604666165
"87","Bread, Scandinavian",5,0.000537576604666165
"88","Bread, Tea",5,0.000537576604666165
"89","Coffee, Cake, Bread",5,0.000537576604666165
"90","Coffee, Coffee, Medialuna",5,0.000537576604666165
"91","Coffee, Jammie Dodgers",5,0.000537576604666165
"92","Coffee, Keeping It Local",5,0.000537576604666165
"93","Coffee, Tiffin",5,0.000537576604666165
"94","Pastry, Bread",5,0.000537576604666165
"95","Postcard",5,0.000537576604666165
"96","Sandwich, Coffee, Bread",5,0.000537576604666165
"97","Scone, Coffee",5,0.000537576604666165
"98","Soup, Coffee",5,0.000537576604666165
"99","Victorian Sponge",5,0.000537576604666165
"100","Basket",4,0.000430061283732932
"101","Bread, Baguette",4,0.000430061283732932
"102","Bread, Coffee, Medialuna",4,0.000430061283732932
"103","Bread, Farm House",4,0.000430061283732932
"104","Bread, Jam",4,0.000430061283732932
"105","Bread, Tea, Pastry",4,0.000430061283732932
"106","Chocolates",4,0.000430061283732932
"107","Coffee granules",4,0.000430061283732932
"108","Coffee, Bread, Bread",4,0.000430061283732932
"109","Coffee, Bread, Pastry",4,0.000430061283732932
"110","Coffee, Coffee, Brownie",4,0.000430061283732932
"111","Coffee, Coffee, Pastry, Pastry",4,0.000430061283732932
"112","Coffee, Coffee, Sandwich",4,0.000430061283732932
"113","Coffee, Coffee, Toast",4,0.000430061283732932
"114","Coffee, Juice",4,0.000430061283732932
"115","Coffee, Spanish Brunch",4,0.000430061283732932
"116","Coffee, Truffles",4,0.000430061283732932
"117","Empanadas",4,0.000430061283732932
"118","Extra Salami or Feta",4,0.000430061283732932
"119","Gingerbread syrup",4,0.000430061283732932
"120","Bread, Bread, Coffee",3,0.000322545962799699
"121","Bread, Coffee, Bread",3,0.000322545962799699
"122","Bread, Coffee, Coffee",3,0.000322545962799699
"123","Bread, Focaccia",3,0.000322545962799699
"124","Bread, Mineral water",3,0.000322545962799699
"125","Bread, Scone",3,0.000322545962799699
"126","Cake, Bread",3,0.000322545962799699
"127","Cake, Tea",3,0.000322545962799699
"128","Coffee, Bread, Alfajores",3,0.000322545962799699
"129","Coffee, Bread, Cake",3,0.000322545962799699
"130","Coffee, Bread, Farm House",3,0.000322545962799699
"131","Coffee, Bread, Scone",3,0.000322545962799699
"132","Coffee, Brownie",3,0.000322545962799699
"133","Coffee, Chicken Stew",3,0.000322545962799699
"134","Coffee, Coffee, Alfajores",3,0.000322545962799699
"135","Coffee, Coffee, Cookies",3,0.000322545962799699
"136","Coffee, Coffee, Scone, Cake",3,0.000322545962799699
"137","Coffee, Coffee, Tea",3,0.000322545962799699
"138","Coffee, Farm House",3,0.000322545962799699
"139","Coffee, Hot chocolate, Bread",3,0.000322545962799699
"140","Coffee, Salad",3,0.000322545962799699
"141","Coffee, Soup",3,0.000322545962799699
"142","Coffee, Tea, Toast",3,0.000322545962799699
"143","Coffee, Toast, Bread",3,0.000322545962799699
"144","Cookies, Bread",3,0.000322545962799699
"145","Crepes",3,0.000322545962799699
"146","Crisps",3,0.000322545962799699
"147","Half slice Monster",3,0.000322545962799699
"148","Hot chocolate, Bread",3,0.000322545962799699
"149","Hot chocolate, Coffee, Cake",3,0.000322545962799699
"150","Kids biscuit",3,0.000322545962799699
"151","My-5 Fruit Shoot",3,0.000322545962799699
"152","Pastry, Coffee, Coffee",3,0.000322545962799699
"153","Sandwich, Bread",3,0.000322545962799699
"154","Spanish Brunch, Coffee",3,0.000322545962799699
"155","Tea, Bread, Cake",3,0.000322545962799699
"156","Tea, Cake",3,0.000322545962799699
"157","Tea, Coffee, Bread",3,0.000322545962799699
"158","Tea, Coffee, Cake",3,0.000322545962799699
"159","Tea, Tea",3,0.000322545962799699
"160","Toast, Coffee",3,0.000322545962799699
"161","Alfajores, Coffee",2,0.000215030641866466
"162","Argentina Night",2,0.000215030641866466
"163","Bread, Alfajores",2,0.000215030641866466
"164","Bread, Coffee, Brownie",2,0.000215030641866466
"165","Bread, Coffee, Hot chocolate",2,0.000215030641866466
"166","Bread, Coffee, Keeping It Local",2,0.000215030641866466
"167","Bread, Coffee, Scone",2,0.000215030641866466
"168","Bread, Coffee, Toast",2,0.000215030641866466
"169","Bread, Fudge, Cookies",2,0.000215030641866466
"170","Bread, Pastry, Bread",2,0.000215030641866466
"171","Bread, Soup",2,0.000215030641866466
"172","Bread, Spanish Brunch",2,0.000215030641866466
"173","Bread, Toast",2,0.000215030641866466
"174","Bread, Vegan mincepie",2,0.000215030641866466
"175","Brownie, Coffee",2,0.000215030641866466
"176","Cake, Coffee, Hot chocolate",2,0.000215030641866466
"177","Coffee, Alfajores, Pastry",2,0.000215030641866466
"178","Coffee, Baguette",2,0.000215030641866466
"179","Coffee, Bread, Cake, Bread",2,0.000215030641866466
