"","Var1","Freq","Support"
"1","Coffee",1864,0.199978543074777
"2","Bread",1528,0.163930908700783
"3","Tea",569,0.0610449522583414
"4","Cake",300,0.0321853878339234
"5","Pastry",264,0.0283231412938526
"6","Farm House",261,0.0280012874155134
"7","Sandwich",251,0.0269284411543826
"8","Hot chocolate",244,0.026177448771591
"9","Medialuna",183,0.0196330865786933
"10","Scandinavian",157,0.0168436862997532
"11","Cookies",151,0.0161999785430748
"12","Soup",137,0.0146979937774917
"13","Brownie",110,0.0118013088724386
"14","Alfajores",105,0.0112648857418732
"15","Muffin",99,0.0106211779851947
"16","Scone",98,0.0105138933590816
"17","Juice",95,0.0101920394807424
"18","Baguette",93,0.00997747022851625
"19","Coke",89,0.00954833172406394
"20","Toast",83,0.00890462396738547
"21","Fudge",79,0.00847548546293316
"22","Coffee, Bread",75,0.00804634695848085
"23","Jam",66,0.00708078532346315
"24","Truffles",63,0.00675893144512391
"25","Spanish Brunch",56,0.00600793906233237
"26","Coffee, Coffee",55,0.00590065443621929
"27","Bread, Coffee",53,0.00568608518399313
"28","Chicken Stew",48,0.00514966205342774
"29","Mineral water",44,0.00472052354897543
"30","Tiffin",41,0.0043986696706362
"31","Hearty & Seasonal",39,0.00418410041841004
"32","Afternoon with the baker",35,0.00375496191395773
"33","Coffee, Medialuna",31,0.00332582340950542
"34","Jammie Dodgers",31,0.00332582340950542
"35","Coffee, Cake",27,0.00289668490505311
"36","Coffee, Pastry",27,0.00289668490505311
"37","Frittata",26,0.00278940027894003
"38","Focaccia",24,0.00257483102671387
"39","Salad",22,0.00236026177448772
"40","Tartine",22,0.00236026177448772
"41","Keeping It Local",20,0.00214569252226156
"42","Bread, Bread",19,0.00203840789614848
"43","Smoothies",19,0.00203840789614848
"44","The Nomad",18,0.0019311232700354
"45","Coffee, Cookies",17,0.00182383864392233
"46","Coffee, Sandwich",17,0.00182383864392233
"47","Coffee, Toast",17,0.00182383864392233
"48","Tshirt",16,0.00171655401780925
"49","Bread, Pastry",15,0.00160926939169617
"50","Medialuna, Coffee",14,0.00150198476558309
"51","Coffee, Tea",13,0.00139470013947001
"52","Vegan mincepie",13,0.00139470013947001
"53","Bread, Tea",12,0.00128741551335694
"54","Valentine's card",12,0.00128741551335694
"55","Bakewell",11,0.00118013088724386
"56","Coffee, Muffin",11,0.00118013088724386
"57","Coffee, Scone",11,0.00118013088724386
"58","Eggs",11,0.00118013088724386
"59","Sandwich, Coffee",11,0.00118013088724386
"60","Coffee, Hot chocolate",10,0.00107284626113078
"61","Pastry, Coffee",10,0.00107284626113078
"62","Tea, Bread",10,0.00107284626113078
"63","Cake, Coffee",9,0.000965561635017702
"64","Coffee, Coffee, Pastry",9,0.000965561635017702
"65","Art Tray",8,0.000858277008904624
"66","Bread, Medialuna",8,0.000858277008904624
"67","Bread, Muffin",8,0.000858277008904624
"68","Coffee, Alfajores",8,0.000858277008904624
"69","Coffee, Coffee, Bread",8,0.000858277008904624
"70","Coffee, Coffee, Medialuna",8,0.000858277008904624
"71","Coffee, Pastry, Bread",8,0.000858277008904624
"72","Dulce de Leche",8,0.000858277008904624
"73","Granola",8,0.000858277008904624
"74","Mighty Protein",8,0.000858277008904624
"75","Tea, Coffee",8,0.000858277008904624
"76","Bread, Cake",7,0.000750992382791546
"77","Christmas common",7,0.000750992382791546
"78","Coffee, Coffee, Cake",7,0.000750992382791546
"79","Coffee, Tea, Cake",7,0.000750992382791546
"80","Coffee, Tiffin",7,0.000750992382791546
"81","Bread, Baguette",6,0.000643707756678468
"82","Coffee, Bread, Cake",6,0.000643707756678468
"83","Coffee, Coffee, Sandwich",6,0.000643707756678468
"84","Coffee, Hot chocolate, Bread",6,0.000643707756678468
"85","Muesli",6,0.000643707756678468
"86","Scone, Coffee",6,0.000643707756678468
"87","Vegan Feast",6,0.000643707756678468
"88","Bread, Bread, Coffee",5,0.00053642313056539
"89","Bread, Cookies",5,0.00053642313056539
"90","Bread, Scone",5,0.00053642313056539
"91","Coffee, Bread, Bread",5,0.00053642313056539
"92","Coffee, Bread, Sandwich",5,0.00053642313056539
"93","Coffee, Juice",5,0.00053642313056539
"94","Coffee, Spanish Brunch",5,0.00053642313056539
"95","Pastry, Bread",5,0.00053642313056539
"96","Pastry, Coffee, Coffee",5,0.00053642313056539
"97","Pintxos",5,0.00053642313056539
"98","Sandwich, Coffee, Bread",5,0.00053642313056539
"99","Bread, Brownie",4,0.000429138504452312
"100","Bread, Coffee, Bread",4,0.000429138504452312
"101","Bread, Coffee, Pastry",4,0.000429138504452312
